Бренд;Модель;Картинка
Asus;"ZenFone 3 Delux ZS550KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-3-delux-zs550kl.jpg
Asus;"ZenFone 3 Zoom ZE553KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-3-zoom-ze553kl.jpg
Asus;"ZenFone 3 Max ZC553KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-3-max-zc553kl.jpg
Asus;"ZenFone Go ZB500KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-go-zb500kl.jpg
Asus;"ZenFone 3 ZE552KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-3-ze552kl.jpg
Asus;"ZenFone 3 ZE520KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-3-ze520kl.jpg
Asus;"ZenFone 5 A500CG";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-5-a500cg.jpg
Asus;"ZenFone 3 Deluxe ZS570KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-3-deluxe-zs570kl.jpg
Asus;"ZenFone 2 Deluxe Special Edition";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-2-deluxe-special-edition.jpg
Asus;"ZenFone 2 Deluxe ZE551ML";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-2-deluxe-ze551ml.jpg
Asus;"ZenFone 3 Ultra ZU680KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-3-ultra-zu680kl.jpg
Asus;"ZenFone 3 Laser ZC551KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-3-laser-zc551kl.jpg
Asus;"ZenFone 3 Laser ZE550KG";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-3-laser-ze550kg.jpg
Asus;"ZenFone 3 Max ZC520TL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-3-max-zc520tl.jpg
Asus;"ZenFone Go TV G550KL";http://teh-profi.net/i/remont_telefonov/asus/150/zenfone-go-tv-g550kl.jpg
