тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
планшет;apple;iPad;4 32Gb Wi-Fi ;;apple iPad 4 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;4 32Gb Wi-Fi Cellular ;;apple iPad 4 32Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;4 64Gb Wi-Fi ;;apple iPad 4 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;4 64Gb Wi-Fi Cellular ;;apple iPad 4 64Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
телефон;apple;iPhone;4 8Gb ;1;apple iPhone 4 8Gb ;;;;;;;;;;;;;;;
телефон;apple;iPhone;4 CDMA;;apple iPhone 4 CDMA;;;;;;;;;;;;;;;
телефон;apple;iPhone;4S 16Gb;;apple iPhone 4S 16Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;5 16Gb;;apple iPhone 5 16Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;5C 16Gb;;apple iPhone 5C 16Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;5C 32Gb;;apple iPhone 5C 32Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;5S 16Gb ;1;apple iPhone 5S 16Gb ;;;;;;;;;;;;;;;
телефон;apple;iPhone;5S 32Gb;;apple iPhone 5S 32Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;5S 64Gb;;apple iPhone 5S 64Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;5SE;1;apple iPhone 5SE;;;;;;;;;;;;;;;
телефон;apple;iPhone;6 16Gb;;apple iPhone 6 16Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;6 32Gb;;apple iPhone 6 32Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;6 64Gb;;apple iPhone 6 64Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;6 Plus 64Gb;;apple iPhone 6 Plus 64Gb;;;;;;;;;;;;;;;
планшет;apple;iPad;64Gb Wi-Fi ;;apple iPad 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;64Gb Wi-Fi 3G ;;apple iPad 64Gb Wi-Fi 3G ;;;;;;;;;;;;;;;
планшет;apple;iPad;64Gb Wi-Fi 3G MC497LL ;;apple iPad 64Gb Wi-Fi 3G MC497LL ;;;;;;;;;;;;;;;
телефон;apple;iPhone;6S 128Gb;;apple iPhone 6S 128Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;6S 16Gb;;apple iPhone 6S 16Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;6S 32Gb;;apple iPhone 6S 32Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;6S 64Gb;;apple iPhone 6S 64Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;7 128Gb ;1;apple iPhone 7 128Gb ;;;;;;;;;;;;;;;
телефон;apple;iPhone;7 32Gb;;apple iPhone 7 32Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;7 Plus 128Gb;;apple iPhone 7 Plus 128Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;7 Plus 32Gb;;apple iPhone 7 Plus 32Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;8 64Gb;;apple iPhone 8 64Gb;;;;;;;;;;;;;;;
телефон;apple;iPhone;8 Plus 64Gb;;apple iPhone 8 Plus 64Gb;;;;;;;;;;;;;;;
ноутбук;apple;macbook;air ;1;apple macbook air ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 128Gb Wi-Fi ;;apple iPad Air 128Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 128Gb Wi-Fi Cellular ;;apple iPad Air 128Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 16Gb Wi-Fi ;;apple iPad Air 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 16Gb Wi-Fi Cellular ;;apple iPad Air 16Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 2 128Gb Wi-Fi ;;apple iPad Air 2 128Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 2 128Gb Wi-Fi Cellular ;;apple iPad Air 2 128Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 2 16Gb Wi-Fi ;;apple iPad Air 2 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 2 16Gb Wi-Fi Cellular ;;apple iPad Air 2 16Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 2 32Gb Wi-Fi ;;apple iPad Air 2 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 2 32Gb Wi-Fi Cellular ;;apple iPad Air 2 32Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 2 64Gb Wi-Fi ;;apple iPad Air 2 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 2 64Gb Wi-Fi Cellular ;;apple iPad Air 2 64Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 32Gb Wi-Fi ;;apple iPad Air 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 32Gb Wi-Fi Cellular ;;apple iPad Air 32Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 64Gb Wi-Fi ;;apple iPad Air 64Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;Air 64Gb Wi-Fi Cellular ;;apple iPad Air 64Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 16Gb Wi-Fi ;;apple iPad mini 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 16Gb Wi-Fi Cellular ;;apple iPad mini 16Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 2 16Gb Wi-Fi ;;apple iPad mini 2 16Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 2 16Gb Wi-Fi Cellular ;;apple iPad mini 2 16Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 2 32Gb Wi-Fi ;;apple iPad mini 2 32Gb Wi-Fi ;;;;;;;;;;;;;;;
планшет;apple;iPad;mini 2 32Gb Wi-Fi Cellular ;;apple iPad mini 2 32Gb Wi-Fi Cellular ;;;;;;;;;;;;;;;
