тип;марка;линейка;модель;популярн;модель целиком;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Satio ;;Sony Ericsson Satio ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;sola MT27i ;;Sony Xperia sola MT27i ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;T3 D5102 ;;Sony Xperia T3 D5102 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;T3 D5103 ;;Sony Xperia T3 D5103 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;T630 ;;Sony Ericsson T630 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;T700 ;;Sony Ericsson T700 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;T715 ;;Sony Ericsson T715 ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Tablet S 16Gb ;;sony Xperia Tablet S 16Gb ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Tablet S 16Gb 3G ;;sony Xperia Tablet S 16Gb 3G ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Tablet S 32Gb ;;sony Xperia Tablet S 32Gb ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Tablet S 64Gb ;;sony Xperia Tablet S 64Gb ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Tablet S 64Gb 3G ;;sony Xperia Tablet S 64Gb 3G ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Tablet Z 16Gb ;;sony Xperia Tablet Z 16Gb ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Tablet Z 16Gb LTE ;;sony Xperia Tablet Z 16Gb LTE ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Tablet Z 32Gb ;;sony Xperia Tablet Z 32Gb ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Tablet Z 32Gb LTE ;;sony Xperia Tablet Z 32Gb LTE ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;tipo dual ;;Sony Xperia tipo dual ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;TX Lt29i ;;Sony Xperia TX Lt29i ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;U ST25i ;1;Sony Xperia U ST25i ;;;;;;;;;;;;;;;
телефон;Sony;Satio;U1 ;;Sony Satio U1 ;;;;;;;;;;;;;;;
телефон;Sony;Aino;U10i ;;Sony Aino U10i ;;;;;;;;;;;;;;;
телефон;Sony;Vivaz;U5i ;;Sony Vivaz U5i ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;V LT25i ;1;Sony Xperia V LT25i ;;;;;;;;;;;;;;;
ноутбук;sony;vaio;vgn ar51mr ;;sony vaio vgn ar51mr ;;;;;;;;;;;;;;;
ноутбук;sony;vaio;vgn fe21sr ;;sony vaio vgn fe21sr ;;;;;;;;;;;;;;;
ноутбук;sony;vaio;vgn fz31er ;;sony vaio vgn fz31er ;;;;;;;;;;;;;;;
ноутбук;sony;vaio;vgn p21zr ;;sony vaio vgn p21zr ;;;;;;;;;;;;;;;
ноутбук;sony;vaio;vgn sr19vrn ;;sony vaio vgn sr19vrn ;;;;;;;;;;;;;;;
ноутбук;sony;vaio;vgn tx3xrp ;;sony vaio vgn tx3xrp ;;;;;;;;;;;;;;;
ноутбук;sony;vaio;vgn z11vrn ;;sony vaio vgn z11vrn ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Vivaz ;;Sony Ericsson Vivaz ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Vivaz U5i ;;Sony Ericsson Vivaz U5i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W595 ;;Sony Ericsson W595 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W610i ;;Sony Ericsson W610i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W700i ;;Sony Ericsson W700i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W800i ;;Sony Ericsson W800i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W810i ;;Sony Ericsson W810i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W850 ;;Sony Ericsson W850 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W880i ;;Sony Ericsson W880i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W890i ;;Sony Ericsson W890i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W902 ;;Sony Ericsson W902 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W910i ;;Sony Ericsson W910i ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W980 ;;Sony Ericsson W980 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;W995 ;;Sony Ericsson W995 ;;;;;;;;;;;;;;;
телефон;Sony;Live;with Walkman ;;Sony Live with Walkman ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;X Dual ;1;Sony Xperia X Dual ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;X Perfomance ;;Sony Xperia X Perfomance ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;X Performance Dual ;;Sony Xperia X Performance Dual ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;X Ultra ;;Sony Xperia X Ultra ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;X1 ;;Sony Xperia X1 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;X10 ;;Sony Xperia X10 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;X10 mini ;;Sony Xperia X10 mini ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;X2 ;;Sony Xperia X2 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;X8 ;;Sony Xperia X8 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XA Dual ;1;Sony Xperia XA Dual ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XA Ultra Dual ;1;Sony Xperia XA Ultra Dual ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XA1 ;1;Sony Xperia XA1 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XA1 Dual ;1;Sony Xperia XA1 Dual ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XA1 Plus ;1;Sony Xperia XA1 Plus ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XA1 Plus Dual ;;Sony Xperia XA1 Plus Dual ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XA1 Ultra ;1;Sony Xperia XA1 Ultra ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XA2 ;;Sony Xperia XA2 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Xperia Active ;;Sony Ericsson Xperia Active ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Xperia arc S ;;Sony Ericsson Xperia arc S ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Xperia Pro ;;Sony Ericsson Xperia Pro ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Xperia Pureness ;;Sony Ericsson Xperia Pureness ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Xperia X10 ;;Sony Ericsson Xperia X10 ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Xperia X10 mini ;;Sony Ericsson Xperia X10 mini ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Xperia X5 Pureness ;;Sony Ericsson Xperia X5 Pureness ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Xperia X8 ;;Sony Ericsson Xperia X8 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XZ Dual ;;Sony Xperia XZ Dual ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XZ Premium ;1;Sony Xperia XZ Premium ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XZ1 ;1;Sony Xperia XZ1 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XZ1 Compact ;;Sony Xperia XZ1 Compact ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XZ1 Dual ;;Sony Xperia XZ1 Dual ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;XZs ;1;Sony Xperia XZs ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Yari ;;Sony Ericsson Yari ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z C6602 ;;Sony Xperia Z C6602 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z C6603 ;1;Sony Xperia Z C6603 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z L36h ;;Sony Xperia Z L36h ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z Ultra C6802 ;;Sony Xperia Z Ultra C6802 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z Ultra C6833 ;1;Sony Xperia Z Ultra C6833 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z2 D6502 ;;Sony Xperia Z2 D6502 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z2 D6503 ;1;Sony Xperia Z2 D6503 ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Z2 Tablet 16Gb 4G ;;sony Xperia Z2 Tablet 16Gb 4G ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Z2 Tablet 16Gb WiFi ;;sony Xperia Z2 Tablet 16Gb WiFi ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z3 D6603 ;1;Sony Xperia Z3 D6603 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z3 dual D6633 ;1;Sony Xperia Z3 dual D6633 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z3 E6553 ;;Sony Xperia Z3 E6553 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;Z3 Plus Dual ;;Sony Xperia Z3 Plus Dual ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Z3 Tablet Compact 16Gb LTE ;;sony Xperia Z3 Tablet Compact 16Gb LTE ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Z3 Tablet Compact 16Gb WiFi ;;sony Xperia Z3 Tablet Compact 16Gb WiFi ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Z4 Tablet 32Gb LTE ;;sony Xperia Z4 Tablet 32Gb LTE ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Z4 Tablet 32Gb LTE keyboard ;;sony Xperia Z4 Tablet 32Gb LTE keyboard ;;;;;;;;;;;;;;;
планшет;sony;Xperia;Z4 Tablet 32Gb WiFi ;;sony Xperia Z4 Tablet 32Gb WiFi ;;;;;;;;;;;;;;;
телефон;Sony;Ericsson;Z610I ;;Sony Ericsson Z610I ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;ZL C6502 ;;Sony Xperia ZL C6502 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;ZL C6503 ;1;Sony Xperia ZL C6503 ;;;;;;;;;;;;;;;
телефон;Sony;Xperia;ZR C5502 ;1;Sony Xperia ZR C5502 ;;;;;;;;;;;;;;;
телефон;Sony;W20i;Zylo ;1;Sony W20i Zylo ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;a100 811 ;;toshiba satellite a100 811 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;a100 906 ;;toshiba satellite a100 906 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;a110 293 ;;toshiba satellite a110 293 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;a210 16g ;;toshiba satellite a210 16g ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;a300 15j ;;toshiba satellite a300 15j ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;a300 1g5 ;;toshiba satellite a300 1g5 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;c660 1v9 ;;toshiba satellite c660 1v9 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;c660d a2k ;;toshiba satellite c660d a2k ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;c850 c1s ;;toshiba satellite c850 c1s ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;c850 c3s ;;toshiba satellite c850 c3s ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;c850 e3w ;;toshiba satellite c850 e3w ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;c870 d8w ;;toshiba satellite c870 d8w ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;c870 dqk ;;toshiba satellite c870 dqk ;;;;;;;;;;;;;;;
планшет;toshiba;Satellite;Click 10 64Gb ;;toshiba Satellite Click 10 64Gb ;;;;;;;;;;;;;;;
планшет;toshiba;Satellite;Click mini ;;toshiba Satellite Click mini ;;;;;;;;;;;;;;;
ноутбук;toshiba;qosmio;f60 12j ;;toshiba qosmio f60 12j ;;;;;;;;;;;;;;;
ноутбук;toshiba;qosmio;f60 14j ;;toshiba qosmio f60 14j ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l100 194 ;;toshiba satellite l100 194 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l300 11q ;;toshiba satellite l300 11q ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l300 14x ;;toshiba satellite l300 14x ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l300d 20m ;;toshiba satellite l300d 20m ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l300d 245 ;;toshiba satellite l300d 245 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l40 17t ;;toshiba satellite l40 17t ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l500 1wp ;;toshiba satellite l500 1wp ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l505 13t ;;toshiba satellite l505 13t ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l505 13u ;;toshiba satellite l505 13u ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l650d 16u ;;toshiba satellite l650d 16u ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l655 14c ;;toshiba satellite l655 14c ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l655 19d ;;toshiba satellite l655 19d ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l675d 111 ;;toshiba satellite l675d 111 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l850d b1r ;;toshiba satellite l850d b1r ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l850d c5w ;;toshiba satellite l850d c5w ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l855 c2m ;;toshiba satellite l855 c2m ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;l875 b6m ;;toshiba satellite l875 b6m ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;m100 179 ;;toshiba satellite m100 179 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;p100 106 ;;toshiba satellite p100 106 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;p300 133 ;;toshiba satellite p300 133 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;p300 135 ;;toshiba satellite p300 135 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;p50 a m8s ;;toshiba satellite p50 a m8s ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;pro l630 140 ;1;toshiba satellite pro l630 140 ;;;;;;;;;;;;;;;
ноутбук;toshiba;satellite;r830 13d ;;toshiba satellite r830 13d ;;;;;;;;;;;;;;;
ноутбук;toshiba;qosmio;x500 123 ;;toshiba qosmio x500 123 ;;;;;;;;;;;;;;;
ноутбук;toshiba;qosmio;x770 107 ;;toshiba qosmio x770 107 ;;;;;;;;;;;;;;;
телефон;Xiaomi;mi;2;1;Xiaomi mi 2;;;;;;;;;;;;;;;
телефон;Xiaomi;mi;3;1;Xiaomi mi 3;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;4;1;Xiaomi Redmi 4;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;4;1;Xiaomi Mi 4;;;;;;;;;;;;;;;
планшет;xiaomi;MiPad;16GB ;;xiaomi MiPad 16GB ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi4;16Gb ;;Xiaomi Mi4 16Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi4c;16Gb ;;Xiaomi Mi4c 16Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi4i;16Gb ;;Xiaomi Mi4i 16Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;MI;1s ;;Xiaomi MI 1s ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;1S ;;Xiaomi Redmi 1S ;;;;;;;;;;;;;;;
телефон;Xiaomi;Rice;1S ;;Xiaomi Rice 1S ;;;;;;;;;;;;;;;
телефон;Xiaomi;Hongmi;1s ;;Xiaomi Hongmi 1s ;;;;;;;;;;;;;;;
планшет;xiaomi;MiPad;2 16Gb ;;xiaomi MiPad 2 16Gb ;;;;;;;;;;;;;;;
планшет;xiaomi;MiPad;2 64Gb ;;xiaomi MiPad 2 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;2 Enhanced Edition ;;Xiaomi Redmi 2 Enhanced Edition ;;;;;;;;;;;;;;;
планшет;xiaomi;MiPad;2 Windows Edition 64Gb ;;xiaomi MiPad 2 Windows Edition 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;3 16Gb ;;Xiaomi Redmi 3 16Gb ;;;;;;;;;;;;;;;
планшет;xiaomi;MiPad;3 64Gb ;;xiaomi MiPad 3 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;mi;3 Pro ;;Xiaomi mi 3 Pro ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi2S;32Gb ;;Xiaomi Mi2S 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi5;32Gb ;;Xiaomi Mi5 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi4i;32Gb ;;Xiaomi Mi4i 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;mi;3S ;;Xiaomi mi 3S ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;3s 16Gb ;;Xiaomi Redmi 3s 16Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;3s 32Gb ;;Xiaomi Redmi 3s 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;4 Prime ;1;Xiaomi Redmi 4 Prime ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;4 Pro ;1;Xiaomi Redmi 4 Pro ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;4A ;1;Xiaomi Redmi 4A ;;;;;;;;;;;;;;;
телефон;Xiaomi;mi;4A ;;Xiaomi mi 4A ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;4A 16GB ;1;Xiaomi Redmi 4A 16GB ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;4A 32Gb ;;Xiaomi Redmi 4A 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;4S ;1;Xiaomi Mi 4S ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;4X 16Gb ;1;Xiaomi Redmi 4X 16Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;4X 32Gb ;1;Xiaomi Redmi 4X 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;4X 64GB ;1;Xiaomi Redmi 4X 64GB ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;5 32Gb ;;Xiaomi Redmi 5 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;5 Plus 64Gb ;;Xiaomi Redmi 5 Plus 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;5A ;1;Xiaomi Redmi 5A ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;5c ;;Xiaomi Mi 5c ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;5X ;1;Xiaomi Mi 5X ;;;;;;;;;;;;;;;
планшет;xiaomi;MiPad;64GB ;;xiaomi MiPad 64GB ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi5;64Gb ;;Xiaomi Mi5 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi4;64GB ;;Xiaomi Mi4 64GB ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;A1 ;1;Xiaomi Mi A1 ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Max 128Gb ;;Xiaomi Mi Max 128Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Max 2 ;1;Xiaomi Mi Max 2 ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Max 2 64Gb ;;Xiaomi Mi Max 2 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Max 32Gb ;;Xiaomi Mi Max 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Max 64Gb ;;Xiaomi Mi Max 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Mix 2 ;1;Xiaomi Mi Mix 2 ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Mix 2 SE ;;Xiaomi Mi Mix 2 SE ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;MIX 2 Special Edition ;;Xiaomi Mi MIX 2 Special Edition ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Mix 256Gb ;;Xiaomi Mi Mix 256Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Note 2 ;1;Xiaomi Mi Note 2 ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 2 16Gb ;;Xiaomi Redmi Note 2 16Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Note 2 64Gb ;;Xiaomi Mi Note 2 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 3 16Gb ;;Xiaomi Redmi Note 3 16Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 3 32Gb ;1;Xiaomi Redmi Note 3 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;mi;Note 3 Pro ;;Xiaomi mi Note 3 Pro ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 3 Pro 16Gb ;;Xiaomi Redmi Note 3 Pro 16Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 3 Pro 32Gb ;;Xiaomi Redmi Note 3 Pro 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 3 Pro Special Edition ;;Xiaomi Redmi Note 3 Pro Special Edition ;;;;;;;;;;;;;;;
телефон;Xiaomi;mi;Note 4 ;;Xiaomi mi Note 4 ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 4 32Gb ;1;Xiaomi Redmi Note 4 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 4 64Gb ;1;Xiaomi Redmi Note 4 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 4X ;1;Xiaomi Redmi Note 4X ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 4X 32Gb ;1;Xiaomi Redmi Note 4X 32Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note 4X 64Gb ;1;Xiaomi Redmi Note 4X 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Mi;Note 64Gb ;;Xiaomi Mi Note 64Gb ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Note standart ;;Xiaomi Redmi Note standart ;;;;;;;;;;;;;;;
телефон;Xiaomi;mi;Pro ;1;Xiaomi mi Pro ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Pro 32GB ;1;Xiaomi Redmi Pro 32GB ;;;;;;;;;;;;;;;
телефон;Xiaomi;Redmi;Pro 64GB ;;Xiaomi Redmi Pro 64GB ;;;;;;;;;;;;;;;
